Day10 过拟合与正则化实验汇总
================================================
数据设置：训练集 40 个点，其中 15% 标签被故意翻转；测试集 400 个点，不加标签噪声。
观察重点：不要只看 train_acc，要看 test_acc 以及 train_acc - test_acc 的 gap。

model | train_loss | test_loss | train_acc | test_acc | gap
baseline | 0.01141 | 1.65734 | 1.000 | 0.695 | 0.305
weight_decay | 0.16279 | 1.30367 | 0.925 | 0.650 | 0.275
dropout | 0.15923 | 0.56535 | 0.975 | 0.748 | 0.228

训练集 accuracy 最高：baseline (1.000)
测试集 accuracy 最高：dropout (0.748)
train/test gap 最小：dropout (0.228)

结论：baseline 最容易记住小训练集；weight decay 和 dropout 会牺牲一点训练集表现，换取更稳的泛化表现。

baseline 训练日志
========================================
weight_decay: 0.0
dropout_p: 0.0
epoch | train_loss | train_acc | test_acc | gap
   83 |    0.08234 |     0.975 |    0.738 | 0.238
   84 |    0.08895 |     0.975 |    0.755 | 0.220
   85 |    0.08929 |     0.975 |    0.725 | 0.250
   86 |    0.08521 |     0.975 |    0.697 | 0.278
   87 |    0.07635 |     0.975 |    0.705 | 0.270
   88 |    0.08207 |     0.975 |    0.723 | 0.252
   89 |    0.07445 |     0.975 |    0.688 | 0.288
   90 |    0.07651 |     0.975 |    0.688 | 0.288
   91 |    0.07118 |     0.975 |    0.702 | 0.273
   92 |    0.07590 |     0.975 |    0.738 | 0.238
   93 |    0.08523 |     0.975 |    0.765 | 0.210
   94 |    0.07007 |     0.975 |    0.728 | 0.248
   95 |    0.11579 |     0.950 |    0.660 | 0.290
   96 |    0.08502 |     0.975 |    0.715 | 0.260
   97 |    0.09251 |     0.950 |    0.790 | 0.160
   98 |    0.08206 |     0.975 |    0.772 | 0.203
   99 |    0.17116 |     0.950 |    0.655 | 0.295
  100 |    0.16279 |     0.925 |    0.650 | 0.275

dropout 训练日志
========================================
weight_decay: 0.0
dropout_p: 0.3
epoch | train_loss | train_acc | test_acc | gap
    1 |    0.52548 |     0.675 |    0.610 | 0.065
    2 |    0.46728 |     0.800 |    0.762 | 0.038
    3 |    0.42784 |     0.800 |    0.887 | -0.087
    4 |    0.42307 |     0.825 |    0.897 | -0.072
    5 |    0.38961 |     0.825 |    0.870 | -0.045
    6 |    0.38020 |     0.825 |    0.810 | 0.015
    7 |    0.34987 |     0.825 |    0.822 | 0.002
    8 |    0.35316 |     0.850 |    0.865 | -0.015
